ID Pregunta,ID Tema,Tema,ID SubTema,Subtema,n Pregunta,Pregunta,ID Respuesta,n Respuesta,Es Correcta,Descripcio,Comentaris
PN1111,1,Geografía,11,Capitales,1,¿Cuál es la capital de Capitales?,RN11111,1,sí,Madrid,Explicación: esta es la respuesta correcta.
PN1111,1,Geografía,11,Capitales,1,¿Cuál es la capital de Capitales?,RN11112,2,no,Paris,Explicación: esta respuesta es incorrecta.
PN1111,1,Geografía,11,Capitales,1,¿Cuál es la capital de Capitales?,RN11113,3,no,London,Explicación: esta respuesta es incorrecta.
PN1111,1,Geografía,11,Capitales,1,¿Cuál es la capital de Capitales?,RN11114,4,no,Berlin,Explicación: esta respuesta es incorrecta.
PN1112,1,Geografía,11,Capitales,2,¿Qué río es el más largo de Capitales?,RN11121,1,sí,Madrid,Explicación: esta es la respuesta correcta.
PN1112,1,Geografía,11,Capitales,2,¿Qué río es el más largo de Capitales?,RN11122,2,no,Paris,Explicación: esta respuesta es incorrecta.
PN1112,1,Geografía,11,Capitales,2,¿Qué río es el más largo de Capitales?,RN11123,3,no,London,Explicación: esta respuesta es incorrecta.
PN1112,1,Geografía,11,Capitales,2,¿Qué río es el más largo de Capitales?,RN11124,4,no,Berlin,Explicación: esta respuesta es incorrecta.
PN1113,1,Geografía,11,Capitales,3,¿Cuál es la montaña más alta en Capitales?,RN11131,1,sí,Madrid,Explicación: esta es la respuesta correcta.
PN1113,1,Geografía,11,Capitales,3,¿Cuál es la montaña más alta en Capitales?,RN11132,2,no,Paris,Explicación: esta respuesta es incorrecta.
PN1113,1,Geografía,11,Capitales,3,¿Cuál es la montaña más alta en Capitales?,RN11133,3,no,London,Explicación: esta respuesta es incorrecta.
PN1113,1,Geografía,11,Capitales,3,¿Cuál es la montaña más alta en Capitales?,RN11134,4,no,Berlin,Explicación: esta respuesta es incorrecta.
PN1114,1,Geografía,11,Capitales,4,¿En qué época ocurrió la guerra en Capitales?,RN11141,1,no,Madrid,Explicación: esta respuesta es incorrecta.
PN1114,1,Geografía,11,Capitales,4,¿En qué época ocurrió la guerra en Capitales?,RN11142,2,no,Paris,Explicación: esta respuesta es incorrecta.
PN1114,1,Geografía,11,Capitales,4,¿En qué época ocurrió la guerra en Capitales?,RN11143,3,no,London,Explicación: esta respuesta es incorrecta.
PN1114,1,Geografía,11,Capitales,4,¿En qué época ocurrió la guerra en Capitales?,RN11144,4,sí,Berlin,Explicación: esta es la respuesta correcta.
PN1115,1,Geografía,12,Ríos,1,¿Cuál es la capital de Ríos?,RN11151,1,sí,Madrid,Explicación: esta es la respuesta correcta.
PN1115,1,Geografía,12,Ríos,1,¿Cuál es la capital de Ríos?,RN11152,2,no,Paris,Explicación: esta respuesta es incorrecta.
PN1115,1,Geografía,12,Ríos,1,¿Cuál es la capital de Ríos?,RN11153,3,no,London,Explicación: esta respuesta es incorrecta.
PN1115,1,Geografía,12,Ríos,1,¿Cuál es la capital de Ríos?,RN11154,4,no,Berlin,Explicación: esta respuesta es incorrecta.
PN1116,1,Geografía,12,Ríos,2,¿Qué río es el más largo de Ríos?,RN11161,1,sí,Amazonas,Explicación: esta es la respuesta correcta.
